Ship Code;Lpp min;Ntotal;E(L);std(L);E(Cb);StDev(Cb);E(L/B);StDev(L/B);E(B/D);StDev(B/D);E(D/T);StDev(D/T);E(V);StDev(V);Bulb pct;E(DWT);std(DWT);E(Fuel);std(Fuel)
4;275;49;278;3;0.32;0.36;6.04;0.27;1.78;0.11;2.22;0.13;19.6;0.54;1.00;75993;5732;5237;1.879.367.571
4;300;0;;;;;;;;;;;;;0.00;;;;
4;325;0;;;;;;;;;;;;;0.00;;;;
4;350;0;;;;;;;;;;;;;0.00;;;;
4;375;0;;;;;;;;;;;;;0.00;;;;
4;400;0;;;;;;;;;;;;;0.00;;;;
5;-1;4678;176;66;0.27;0.33;6.48;0.87;1.84;0.25;1.48;0.17;19.8;3.57;0.99;29692;25968;3034;2.711.852.385
5;0;101;23;0;0.26;0.36;3.47;0.00;1.76;0.21;1.54;0.17;22.2;4.00;1.00;51172;37450;3727;4.032.524.589
5;25;25;40;7;0.11;0.25;4.83;0.75;2.06;0.26;1.35;0.17;11.5;1.74;0.00;321;250;60;6.048.191.879
5;50;94;65;6;0.10;0.25;5.43;0.65;2.25;0.59;1.36;0.34;12.5;1.11;0.85;1571;694;301;1.847.483.471
5;75;370;89;7;0.24;0.34;5.67;0.45;2.08;0.42;1.37;0.21;14.2;1.54;0.96;4006;1438;560;293.570.144
5;100;615;114;7;0.26;0.33;6.01;0.58;1.93;0.22;1.37;0.11;16.3;1.39;0.99;7722;1974;861;3.732.611.322
5;125;886;137;7;0.26;0.32;6.17;0.42;1.89;0.20;1.41;0.11;18.6;1.53;0.99;11913;2861;1393;4.373.846.269
5;150;669;162;8;0.31;0.33;6.09;0.42;1.89;0.12;1.44;0.10;19.0;1.46;1.00;21659;3861;1995;509.664.768
5;175;517;190;7;0.21;0.30;6.34;0.40;1.80;0.13;1.50;0.12;20.8;1.70;1.00;31834;5157;3013;8.042.207.871
5;200;249;212;7;0.27;0.33;6.76;0.34;1.75;0.10;1.52;0.11;21.4;1.58;1.00;39889;4636;3952;9.416.994.399
5;225;264;237;8;0.32;0.32;7.37;0.30;1.68;0.13;1.59;0.14;22.6;1.22;1.00;45705;5338;4922;1.162.327.436
5;250;409;263;6;0.28;0.32;7.33;0.78;1.62;0.09;1.69;0.11;24.3;1.53;1.00;60787;7974;6686;1.867.583.092
5;275;327;283;4;0.32;0.34;8.09;0.84;1.58;0.11;1.66;0.10;24.4;1.37;1.00;70034;10228;7472;1.918.378.881
5;300;105;315;6;0.18;0.30;7.29;0.21;1.76;0.10;1.72;0.12;25.0;0.36;1.00;100968;6446;10898;1.026.667.742
5;325;36;333;2;0.50;0.30;7.78;0.05;1.71;0.10;1.71;0.11;25.0;0.29;1.00;107315;2853;11868;1.741.048.516
5;350;10;361;12;0.66;0.02;7.58;0.80;1.81;0.05;1.72;0.15;25.0;0.00;1.00;132700;21947;15595;2.319.351.762
5;375;1;376;;0.63;;6.67;;1.87;;1.89;;25.0;;1.00;156907;;17455;
5;400;0;;;;;;;;;;;;;0.00;;;;
6;-1;9457;87;34;0.22;0.35;5.89;0.90;2.03;0.46;1.40;0.20;12.5;2.26;0.80;5607;7762;617;7.654.499.546
6;0;413;21;3;0.13;0.24;3.11;0.88;2.29;0.67;1.38;0.34;11.3;2.58;0.56;2503;3065;271;3.142.215.126
6;25;1101;41;7;0.12;0.25;4.88;0.77;2.19;0.58;1.38;0.22;10.0;1.26;0.64;494;286;25;2.965.371.124
6;50;2690;63;8;0.10;0.24;5.62;0.55;2.02;0.47;1.46;0.24;11.0;1.18;0.82;1500;718;108;9.010.211.129
6;75;2894;87;7;0.25;0.37;5.95;0.72;2.00;0.39;1.35;0.17;12.3;1.46;0.79;4363;1768;301;2.261.796.518
6;100;1180;110;7;0.34;0.39;6.55;0.98;2.07;0.48;1.39;0.18;13.3;2.09;0.69;7089;2745;477;2.925.256.258
6;125;668;138;7;0.36;0.38;6.73;0.91;1.94;0.42;1.40;0.12;14.8;2.26;0.83;13255;4825;1257;8.076.597.616
6;150;300;161;7;0.33;0.37;6.35;0.48;1.80;0.13;1.41;0.07;15.6;1.72;0.99;24533;5583;1747;5.105.279.259
6;175;208;183;6;0.31;0.39;6.20;0.45;1.79;0.11;1.42;0.07;15.7;1.79;0.98;40894;7630;2542;1.227.483.619
6;200;2;202;3;0.76;0.02;6.53;0.05;1.75;0.17;1.51;0.11;15.8;;1.00;44605;501;3650;
6;225;1;237;;0.67;;7.35;;1.76;;1.55;;20.5;;0.00;33980;;;
6;250;0;;;;;;;;;;;;;0.00;;;;
6;275;0;;;;;;;;;;;;;0.00;;;;
6;300;0;;;;;;;;;;;;;0.00;;;;
6;325;0;;;;;;;;;;;;;0.00;;;;
6;350;0;;;;;;;;;;;;;0.00;;;;
6;375;0;;;;;;;;;;;;;0.00;;;;
6;400;0;;;;;;;;;;;;;0.00;;;;
7;-1;6090;185;55;0.30;0.39;6.14;0.73;1.87;0.25;1.41;0.13;14.1;1.08;0.96;58245;49058;2329;1.254.141.225
7;0;63;;;;;;;2.18;0.65;1.35;0.19;13.5;2.17;0.80;32421;44521;970;8.617.139.091
7;25;160;44;4;0.19;0.31;4.07;0.39;2.46;0.61;1.41;0.35;10.1;0.71;0.64;623;214;;
7;50;263;62;6;0.18;0.32;4.92;0.55;2.13;0.41;1.42;0.23;10.9;1.03;0.78;1634;606;103;1.050.246.766
7;75;121;88;7;0.27;0.37;5.54;0.63;2.19;0.56;1.35;0.18;12.1;1.20;0.75;4528;1516;266;2.091.196.369
7;100;212;111;6;0.32;0.38;6.22;0.94;1.98;0.21;1.37;0.15;13.1;1.38;0.77;8436;2943;390;2.933.948.084
7;125;396;141;7;0.20;0.34;5.91;0.41;1.91;0.20;1.39;0.11;13.9;0.91;0.96;19855;4137;1133;4.016.750.103
7;150;1032;165;7;0.27;0.38;6.22;0.54;1.88;0.15;1.41;0.05;14.3;0.65;0.98;30225;5828;1578;3.550.956.896
7;175;1556;182;5;0.27;0.39;6.03;0.61;1.83;0.13;1.45;0.14;14.4;0.60;0.99;45522;6945;2028;5.108.258.952
7;200;1376;216;4;0.33;0.41;6.70;0.42;1.72;0.11;1.40;0.10;14.5;0.66;0.98;70842;8828;2677;5.921.069.169
7;225;174;235;6;0.45;0.43;6.57;0.86;1.90;0.31;1.43;0.08;14.3;0.77;0.89;82323;17030;3549;9.300.614.193
7;250;255;262;6;0.53;0.40;6.02;0.17;1.85;0.09;1.38;0.03;14.2;0.73;0.98;148869;10503;4063;9.928.695.889
7;275;431;281;4;0.32;0.41;6.12;0.15;1.89;0.09;1.36;0.03;14.6;0.76;0.99;177868;11525;4658;1.066.829.788
